Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,12/12/2020 08:41,FALSE,Woking Running,10.01,619,00:56:45,134,149,2.8,156,197,05:40,04:50,48,49,1.12,9.5,10.8,281,50.5% L / 49.5% R,0,0,0,56:45:00,00:00,0,00:00,No,00:03.1,11,0
Running,11/12/2020 07:24,FALSE,Woking Running,5.66,358,00:31:19,133,148,2.7,157,181,05:32,04:45,13,13,1.13,9.5,10.9,279,50.1% L / 49.9% R,0,0,0,31:19:00,00:00,0,00:00,No,03:35.7,6,0
Running,10/12/2020 07:25,FALSE,Woking Running,5.7,343,00:31:35,131,145,2.4,157,175,05:33,04:54,22,21,1.14,9.4,10.8,280,50.2% L / 49.8% R,0,0,0,31:35:00,00:00,0,00:00,No,03:49.8,6,0
Running,09/12/2020 07:24,FALSE,Woking Running,5.72,342,00:31:35,137,148,2.6,157,186,05:31,04:58,29,29,1.14,9.1,10.6,282,50.4% L / 49.6% R,0,0,0,31:35:00,00:00,0,00:00,No,03:54.1,6,0
Running,06/12/2020 14:26,FALSE,Woking Running,7.15,455,00:39:12,136,150,3,155,183,05:29,04:38,23,24,1.17,9.3,11.1,282,50.0% L / 50.0% R,0,0,0,39:12:00,00:00,0,00:00,No,00:49.7,8,0
Running,05/12/2020 09:46,FALSE,Woking Running,10.01,637,00:55:20,140,153,3.1,156,185,05:32,04:57,44,47,1.15,9.4,11,279,49.8% L / 50.2% R,0,0,0,55:20:00,00:00,0,00:00,No,00:02.6,11,0
Running,04/12/2020 13:33,FALSE,Woking Running,10.01,628,00:55:26,136,152,3,156,203,05:32,04:30,47,47,1.15,9.3,10.9,282,50.5% L / 49.5% R,0,0,0,55:26:00,00:00,0,00:00,No,00:03.1,11,0
Running,02/12/2020 07:22,FALSE,Woking Running,5.7,345,00:31:22,131,149,2.5,158,178,05:30,04:52,22,22,1.13,9.1,10.5,279,50.0% L / 50.0% R,0,0,0,31:22:00,00:00,0,00:00,No,03:45.4,6,0
Running,01/12/2020 07:25,FALSE,Woking Running,5.69,349,00:31:25,132,147,2.5,157,220,05:31,04:48,21,25,1.14,9.1,10.6,279,50.2% L / 49.8% R,0,0,0,31:25:00,00:00,0,00:00,No,03:41.9,6,0
Running,29/11/2020 08:45,FALSE,Woking Running,10.01,622,00:53:50,136,156,3.1,158,196,05:23,04:46,44,44,1.16,9.2,10.9,276,50.2% L / 49.8% R,0,0,0,53:50:00,00:00,0,00:00,No,00:02.4,11,0
